breed,age_years,weight_kg,color,gender,a1_adapts_well_to_apartment_living,a2_good_for_novice_owners,a4_tolerates_being_alone,b1_affectionate_with_family,b2_incredibly_kid_friendly_dogs,b3_dog_friendly,c1_amount_of_shedding,c2_drooling_potential,d1_easy_to_train,d5_tendency_to_bark_or_howl,e1_energy_level,e3_exercise_needs,size,age_category,color_category,cluster,cluster_name,is_anomaly,anomaly_score
basenji,12,22,Black,Male,5,4,4,5,5,4,1,5,1,1,5,5,medium,senior,dark,4,outlier_unique,-1,-0.015910031319223084
labrador retriever,6,42,Sable,Male,1,3,2,5,5,5,5,3,5,4,5,5,large,adult,unique,0,family_active,1,0.11542894055049463
dachshund,2,35,Spotted,Male,5,4,3,4,5,3,3,1,2,5,3,3,large,puppy,mixed,1,independent_character,1,0.09346636634119565
pembroke welsh corgi,3,55,Brown,Female,4,4,3,5,4,3,5,1,5,2,4,4,large,puppy,dark,5,smart_active,1,0.11917582392484138
shih tzu,11,54,Black and Tan,Female,5,5,3,5,4,4,3,1,3,2,2,2,large,senior,dark,2,small_companion,1,0.11723197668689922
rottweiler,12,14,Cream,Female,2,1,1,5,4,2,4,4,4,4,4,4,small,senior,light,3,large_working,1,0.1270094429307097
cavalier king charles spaniel,12,17,Sable,Male,5,5,1,5,5,5,3,1,4,3,3,4,medium,senior,unique,2,small_companion,1,0.11561804964437455
beagle,7,22,Blue,Male,4,3,1,5,5,5,3,1,1,5,4,4,medium,adult,unique,0,family_active,1,0.04668598771775645
samoyed,4,41,Tricolor,Female,2,2,2,5,5,5,5,2,3,3,5,5,large,adult,mixed,0,family_active,1,0.10307336763685271
dogo argentino,3,37,Brindle,Female,1,1,2,4,2,2,1,3,2,2,4,4,large,puppy,mixed,3,large_working,1,0.0
cavalier king charles spaniel,14,8,Tricolor,Female,5,5,1,5,5,5,3,1,4,3,3,4,small,senior,mixed,2,small_companion,1,0.11561804964437455
australian shepherd,6,59,Black,Female,1,2,2,5,4,5,3,1,5,4,5,5,large,adult,dark,0,family_active,1,0.11734127630666924
belgian malinois,4,17,Tricolor,Female,1,3,3,5,4,2,2,1,5,2,5,5,medium,adult,mixed,5,smart_active,1,0.056851380059695145
bloodhound,6,58,White,Female,1,2,2,5,5,5,4,5,3,4,5,5,large,adult,light,0,family_active,1,0.08520155191862566
dogo argentino,13,52,Red,Female,1,1,2,4,2,2,1,3,2,2,4,4,large,senior,unique,3,large_working,1,0.0
alaskan malamute,12,42,Gray,Female,1,1,1,4,3,2,5,1,4,5,5,5,large,senior,light,3,large_working,1,0.05178362947380133
miniature schnauzer,2,57,Blue,Male,4,3,5,5,3,3,2,1,5,3,5,5,large,puppy,unique,5,smart_active,1,0.049418521329423815
rottweiler,10,12,Black,Female,2,1,1,5,4,2,4,4,4,4,4,4,small,senior,dark,3,large_working,1,0.1270094429307097
great dane,11,51,Cream,Male,1,1,1,5,5,5,5,4,5,4,5,5,large,senior,light,0,family_active,1,0.07166068511527701
german shepherd dog,2,10,White,Male,3,2,2,5,5,2,5,1,5,4,5,5,small,puppy,light,3,large_working,1,0.08877452506852401
belgian malinois,11,22,Tan,Female,1,3,3,5,4,2,2,1,5,2,5,5,medium,senior,light,5,smart_active,1,0.056851380059695145
golden retriever,6,23,Tricolor,Female,2,3,1,5,5,5,5,4,5,3,5,5,medium,adult,mixed,0,family_active,1,0.08528781558879694
whippet,10,23,Black,Female,5,3,2,5,5,4,2,1,4,1,5,5,medium,senior,dark,5,smart_active,1,0.10558414949628958
great dane,11,22,Cream,Female,1,1,1,5,5,5,5,4,5,4,5,5,medium,senior,light,0,family_active,1,0.07166068511527701
chihuahua,9,38,Black,Male,5,4,1,5,5,2,2,1,4,3,3,1,large,senior,dark,2,small_companion,1,0.04033536595833154
vizsla,10,15,Spotted,Male,1,3,1,5,5,5,2,1,5,5,5,5,small,senior,mixed,0,family_active,1,0.0988842615370068
bichon frise,14,54,Gray,Male,5,5,1,5,4,4,2,1,5,2,5,3,large,senior,light,2,small_companion,1,0.15944015389041594
weimaraner,4,14,Tan,Male,1,2,1,5,4,3,4,4,4,2,5,5,small,adult,light,3,large_working,1,0.10893677592658224
standard schnauzer,3,31,Spotted,Female,4,2,2,4,4,3,1,1,3,2,5,5,large,puppy,mixed,5,smart_active,1,0.06975670786733079
pekingese,3,9,Bicolor,Male,5,4,3,5,2,2,4,1,3,4,2,2,small,puppy,mixed,1,independent_character,1,0.08882974922564046
whippet,5,45,Sable,Female,5,3,2,5,5,4,2,1,4,1,5,5,large,adult,unique,5,smart_active,1,0.10558414949628958
irish setter,8,30,Brindle,Female,1,3,2,5,5,5,4,2,4,4,5,5,medium,adult,mixed,0,family_active,1,0.13291247026930442
pekingese,9,55,Gray,Female,5,4,3,5,2,2,4,1,3,4,2,2,large,senior,light,1,independent_character,1,0.08882974922564046
whippet,9,42,Cream,Male,5,3,2,5,5,4,2,1,4,1,5,5,large,senior,light,5,smart_active,1,0.10558414949628958
chesapeake bay retriever,6,12,Sable,Female,1,1,2,5,3,1,5,3,3,3,5,5,small,adult,unique,3,large_working,1,0.041604479924655324
siberian husky,6,38,Black and Tan,Female,2,1,1,5,5,5,3,3,2,5,5,5,large,adult,dark,0,family_active,1,0.05060466007524855
shiba inu,4,22,Blue,Female,5,4,5,4,3,3,4,1,2,4,4,3,medium,adult,unique,1,independent_character,1,0.03866640228556284
belgian malinois,11,52,Sable,Female,1,3,3,5,4,2,2,1,5,2,5,5,large,senior,unique,5,smart_active,1,0.056851380059695145
pug,8,44,Tricolor,Female,5,5,1,5,4,4,5,1,3,2,3,3,large,adult,mixed,2,small_companion,1,0.1093041223286344
golden retriever,7,53,White,Male,2,3,1,5,5,5,5,4,5,3,5,5,large,adult,light,0,family_active,1,0.08528781558879694
yorkshire terrier,1,22,Brindle,Male,5,4,2,4,2,3,2,1,3,3,5,4,medium,puppy,mixed,1,independent_character,1,0.08596830702228297
chinese shar-pei,9,43,Brindle,Male,4,2,4,2,2,1,5,2,3,5,2,3,large,senior,mixed,1,independent_character,1,0.03603625785343145
dachshund,13,13,Red,Female,5,4,3,4,5,3,3,1,2,5,3,3,small,senior,unique,1,independent_character,1,0.09346636634119565
lhasa apso,6,43,Black and Tan,Male,5,5,4,4,4,3,3,1,3,4,4,3,large,adult,dark,1,independent_character,1,0.1145986381147937
border collie,12,28,Spotted,Female,2,2,1,5,4,3,3,1,5,2,5,5,medium,senior,mixed,5,smart_active,1,0.12980876058686436
bichon frise,6,39,Merle,Female,5,5,1,5,4,4,2,1,5,2,5,3,large,adult,unique,2,small_companion,1,0.15944015389041594
german shepherd dog,4,42,Tricolor,Male,3,2,2,5,5,2,5,1,5,4,5,5,large,adult,mixed,3,large_working,1,0.08877452506852401
labrador retriever,9,32,Gray,Male,1,3,2,5,5,5,5,3,5,4,5,5,large,senior,light,0,family_active,1,0.11542894055049463
poodle,10,9,Tricolor,Male,5,5,1,5,5,4,1,1,5,2,4,4,small,senior,mixed,2,small_companion,1,0.09188535307053725
maltese,13,7,Gray,Female,5,5,1,5,3,4,2,1,4,2,3,2,small,senior,light,2,small_companion,1,0.10626288972640852
akita,10,50,Black and White,Female,2,2,1,5,1,1,5,5,2,5,4,4,large,senior,mixed,3,large_working,-1,-0.00886127305314277
australian shepherd,8,54,Merle,Male,1,2,2,5,4,5,3,1,5,4,5,5,large,adult,unique,0,family_active,1,0.11734127630666924
french bulldog,5,30,Tan,Female,5,5,1,5,4,4,3,1,4,3,3,2,medium,adult,light,2,small_companion,1,0.14241912525877787
irish setter,8,11,Spotted,Female,1,3,2,5,5,5,4,2,4,4,5,5,small,adult,mixed,0,family_active,1,0.13291247026930442
vizsla,2,15,Tricolor,Female,1,3,1,5,5,5,2,1,5,5,5,5,small,puppy,mixed,0,family_active,1,0.0988842615370068
alaskan malamute,4,24,Blue,Male,1,1,1,4,3,2,5,1,4,5,5,5,medium,adult,unique,3,large_working,1,0.05178362947380133
cocker spaniel,14,50,Brown,Female,5,3,1,5,3,4,3,1,5,3,4,3,large,senior,dark,2,small_companion,1,0.09819957107015731
maltese,14,20,Red,Male,5,5,1,5,3,4,2,1,4,2,3,2,medium,senior,unique,2,small_companion,1,0.10626288972640852
beagle,6,25,Spotted,Male,4,3,1,5,5,5,3,1,1,5,4,4,medium,adult,mixed,0,family_active,1,0.04668598771775645
boston terrier,11,58,Sable,Female,5,4,3,4,5,5,2,1,4,3,4,4,large,senior,unique,5,smart_active,1,0.1022841672540743
beagle,12,20,Tricolor,Male,4,3,1,5,5,5,3,1,1,5,4,4,medium,senior,mixed,0,family_active,1,0.04668598771775645
great dane,9,59,Bicolor,Female,1,1,1,5,5,5,5,4,5,4,5,5,large,senior,mixed,0,family_active,1,0.07166068511527701
chinese shar-pei,10,40,Tan,Female,4,2,4,2,2,1,5,2,3,5,2,3,large,senior,light,1,independent_character,1,0.03603625785343145
beagle,6,52,Sable,Female,4,3,1,5,5,5,3,1,1,5,4,4,large,adult,unique,0,family_active,1,0.04668598771775645
golden retriever,9,12,Black,Female,2,3,1,5,5,5,5,4,5,3,5,5,small,senior,dark,0,family_active,1,0.08528781558879694
great dane,8,45,Gray,Male,1,1,1,5,5,5,5,4,5,4,5,5,large,adult,light,0,family_active,1,0.07166068511527701
great dane,4,41,Black and Tan,Male,1,1,1,5,5,5,5,4,5,4,5,5,large,adult,dark,0,family_active,1,0.07166068511527701
bloodhound,6,54,Cream,Male,1,2,2,5,5,5,4,5,3,4,5,5,large,adult,light,0,family_active,1,0.08520155191862566
vizsla,10,33,Tricolor,Female,1,3,1,5,5,5,2,1,5,5,5,5,large,senior,mixed,0,family_active,1,0.0988842615370068
poodle,13,49,Black and White,Male,5,5,1,5,5,4,1,1,5,2,4,4,large,senior,mixed,2,small_companion,1,0.09188535307053725
samoyed,7,51,Bicolor,Female,2,2,2,5,5,5,5,2,3,3,5,5,large,adult,mixed,0,family_active,1,0.10307336763685271
boxer,11,14,Black,Male,4,3,1,5,4,3,4,2,4,3,5,5,small,senior,dark,3,large_working,1,0.13011879791857717
weimaraner,6,41,Spotted,Female,1,2,1,5,4,3,4,4,4,2,5,5,large,adult,mixed,3,large_working,1,0.10893677592658224
shih tzu,12,28,Black and White,Male,5,5,3,5,4,4,3,1,3,2,2,2,medium,senior,mixed,2,small_companion,1,0.11723197668689922
shetland sheepdog,4,40,Cream,Female,2,3,2,5,5,4,5,1,5,1,4,4,large,adult,light,5,smart_active,1,0.09560358723404627
standard schnauzer,3,33,Gray,Male,4,2,2,4,4,3,1,1,3,2,5,5,large,puppy,light,5,smart_active,1,0.06975670786733079
doberman pinscher,4,23,Red,Female,3,3,2,5,3,1,4,4,5,1,3,3,medium,adult,unique,3,large_working,1,0.04141680801384029
saint bernard,10,19,White,Male,3,2,1,5,5,5,4,5,2,1,3,2,medium,senior,light,3,large_working,1,0.010965258266183886
samoyed,2,44,White,Female,2,2,2,5,5,5,5,2,3,3,5,5,large,puppy,light,0,family_active,1,0.10307336763685271
chinese shar-pei,12,25,Merle,Female,4,2,4,2,2,1,5,2,3,5,2,3,medium,senior,unique,1,independent_character,1,0.03603625785343145
yorkshire terrier,7,41,Brown,Male,5,4,2,4,2,3,2,1,3,3,5,4,large,adult,dark,1,independent_character,1,0.08596830702228297
bernese mountain dog,10,13,White,Female,1,2,1,5,5,3,5,4,4,4,4,3,small,senior,light,3,large_working,1,0.07387418429489756
shetland sheepdog,4,53,Cream,Male,2,3,2,5,5,4,5,1,5,1,4,4,large,adult,light,5,smart_active,1,0.09560358723404627
samoyed,8,44,Black,Male,2,2,2,5,5,5,5,2,3,3,5,5,large,adult,dark,0,family_active,1,0.10307336763685271
vizsla,8,18,Bicolor,Female,1,3,1,5,5,5,2,1,5,5,5,5,medium,adult,mixed,0,family_active,1,0.0988842615370068
pomeranian,6,48,Black,Female,4,4,1,5,2,2,4,1,4,5,3,2,large,adult,dark,1,independent_character,1,0.050059729299895106
pug,12,45,Gray,Male,5,5,1,5,4,4,5,1,3,2,3,3,large,senior,light,2,small_companion,1,0.1093041223286344
bernese mountain dog,13,26,Cream,Male,1,2,1,5,5,3,5,4,4,4,4,3,medium,senior,light,3,large_working,1,0.07387418429489756
irish setter,3,52,Black,Female,1,3,2,5,5,5,4,2,4,4,5,5,large,puppy,dark,0,family_active,1,0.13291247026930442
vizsla,2,37,Black,Male,1,3,1,5,5,5,2,1,5,5,5,5,large,puppy,dark,0,family_active,1,0.0988842615370068
german shepherd dog,11,37,Sable,Male,3,2,2,5,5,2,5,1,5,4,5,5,large,senior,unique,3,large_working,1,0.08877452506852401
poodle,8,35,Brindle,Male,5,5,1,5,5,4,1,1,5,2,4,4,large,adult,mixed,2,small_companion,1,0.09188535307053725
beagle,6,14,Brown,Female,4,3,1,5,5,5,3,1,1,5,4,4,small,adult,dark,0,family_active,1,0.04668598771775645
siberian husky,13,32,Blue,Female,2,1,1,5,5,5,3,3,2,5,5,5,large,senior,unique,0,family_active,1,0.05060466007524855
border collie,1,33,Brown,Male,2,2,1,5,4,3,3,1,5,2,5,5,large,puppy,dark,5,smart_active,1,0.12980876058686436
dachshund,4,48,Brown,Female,5,4,3,4,5,3,3,1,2,5,3,3,large,adult,dark,1,independent_character,1,0.09346636634119565
chihuahua,8,28,Black and Tan,Male,5,4,1,5,5,2,2,1,4,3,3,1,medium,adult,dark,2,small_companion,1,0.04033536595833154
yorkshire terrier,2,33,Black and White,Male,5,4,2,4,2,3,2,1,3,3,5,4,large,puppy,mixed,1,independent_character,1,0.08596830702228297
rottweiler,1,7,Black and Tan,Female,2,1,1,5,4,2,4,4,4,4,4,4,small,puppy,dark,3,large_working,1,0.1270094429307097
samoyed,9,25,Brindle,Male,2,2,2,5,5,5,5,2,3,3,5,5,medium,senior,mixed,0,family_active,1,0.10307336763685271
poodle,2,27,Black and White,Male,5,5,1,5,5,4,1,1,5,2,4,4,medium,puppy,mixed,2,small_companion,1,0.09188535307053725
jack russell terrier,8,37,Sable,Female,3,2,3,5,4,5,3,1,4,4,5,5,large,adult,unique,0,family_active,1,0.09907175259749268
west highland white terrier,14,12,Black,Male,4,4,2,5,4,5,4,1,4,4,4,4,small,senior,dark,2,small_companion,1,0.11785238860222136
french bulldog,8,26,Blue,Male,5,5,1,5,4,4,3,1,4,3,3,2,medium,adult,unique,2,small_companion,1,0.14241912525877787
dachshund,7,25,Cream,Male,5,4,3,4,5,3,3,1,2,5,3,3,medium,adult,light,1,independent_character,1,0.09346636634119565
whippet,1,24,Tricolor,Male,5,3,2,5,5,4,2,1,4,1,5,5,medium,puppy,mixed,5,smart_active,1,0.10558414949628958
bichon frise,6,30,White,Female,5,5,1,5,4,4,2,1,5,2,5,3,medium,adult,light,2,small_companion,1,0.15944015389041594
bernese mountain dog,6,52,Brindle,Male,1,2,1,5,5,3,5,4,4,4,4,3,large,adult,mixed,3,large_working,1,0.07387418429489756
french bulldog,7,42,Brown,Female,5,5,1,5,4,4,3,1,4,3,3,2,large,adult,dark,2,small_companion,1,0.14241912525877787
chihuahua,12,29,Tan,Male,5,4,1,5,5,2,2,1,4,3,3,1,medium,senior,light,2,small_companion,1,0.04033536595833154
miniature schnauzer,6,24,Brown,Male,4,3,5,5,3,3,2,1,5,3,5,5,medium,adult,dark,5,smart_active,1,0.049418521329423815
poodle,14,47,Blue,Female,5,5,1,5,5,4,1,1,5,2,4,4,large,senior,unique,2,small_companion,1,0.09188535307053725
bulldog,4,18,Red,Female,5,4,3,5,4,2,3,5,3,4,2,3,medium,adult,unique,1,independent_character,1,0.08167644158922482
doberman pinscher,14,49,White,Female,3,3,2,5,3,1,4,4,5,1,3,3,large,senior,light,3,large_working,1,0.04141680801384029
poodle,4,32,Black,Female,5,5,1,5,5,4,1,1,5,2,4,4,large,adult,dark,2,small_companion,1,0.09188535307053725
cavalier king charles spaniel,13,27,Bicolor,Female,5,5,1,5,5,5,3,1,4,3,3,4,medium,senior,mixed,2,small_companion,1,0.11561804964437455
maltese,9,32,White,Male,5,5,1,5,3,4,2,1,4,2,3,2,large,senior,light,2,small_companion,1,0.10626288972640852
french bulldog,4,8,Sable,Male,5,5,1,5,4,4,3,1,4,3,3,2,small,adult,unique,2,small_companion,1,0.14241912525877787
poodle,13,38,Tan,Female,5,5,1,5,5,4,1,1,5,2,4,4,large,senior,light,2,small_companion,1,0.09188535307053725
basenji,12,34,Brown,Female,5,4,4,5,5,4,1,5,1,1,5,5,large,senior,dark,4,outlier_unique,-1,-0.015910031319223084
weimaraner,12,26,Spotted,Female,1,2,1,5,4,3,4,4,4,2,5,5,medium,senior,mixed,3,large_working,1,0.10893677592658224
rottweiler,10,7,White,Female,2,1,1,5,4,2,4,4,4,4,4,4,small,senior,light,3,large_working,1,0.1270094429307097
maltese,12,43,Blue,Female,5,5,1,5,3,4,2,1,4,2,3,2,large,senior,unique,2,small_companion,1,0.10626288972640852
chesapeake bay retriever,4,29,Merle,Female,1,1,2,5,3,1,5,3,3,3,5,5,medium,adult,unique,3,large_working,1,0.041604479924655324
miniature schnauzer,12,22,Bicolor,Female,4,3,5,5,3,3,2,1,5,3,5,5,medium,senior,mixed,5,smart_active,1,0.049418521329423815
chesapeake bay retriever,12,18,Tricolor,Male,1,1,2,5,3,1,5,3,3,3,5,5,medium,senior,mixed,3,large_working,1,0.041604479924655324
chihuahua,4,14,White,Male,5,4,1,5,5,2,2,1,4,3,3,1,small,adult,light,2,small_companion,1,0.04033536595833154
rottweiler,7,46,Tricolor,Female,2,1,1,5,4,2,4,4,4,4,4,4,large,adult,mixed,3,large_working,1,0.1270094429307097
rottweiler,11,30,Merle,Female,2,1,1,5,4,2,4,4,4,4,4,4,medium,senior,unique,3,large_working,1,0.1270094429307097
dogo argentino,11,42,Black and Tan,Female,1,1,2,4,2,2,1,3,2,2,4,4,large,senior,dark,3,large_working,1,0.0
alaskan malamute,5,19,Tricolor,Female,1,1,1,4,3,2,5,1,4,5,5,5,medium,adult,mixed,3,large_working,1,0.05178362947380133
irish setter,14,34,Bicolor,Female,1,3,2,5,5,5,4,2,4,4,5,5,large,senior,mixed,0,family_active,1,0.13291247026930442
lhasa apso,13,52,Black,Female,5,5,4,4,4,3,3,1,3,4,4,3,large,senior,dark,1,independent_character,1,0.1145986381147937
papillon,13,12,Bicolor,Male,5,5,1,5,3,4,2,1,5,2,4,5,small,senior,mixed,2,small_companion,1,0.08890602129631608
chesapeake bay retriever,3,32,White,Male,1,1,2,5,3,1,5,3,3,3,5,5,large,puppy,light,3,large_working,1,0.041604479924655324
doberman pinscher,6,33,Spotted,Female,3,3,2,5,3,1,4,4,5,1,3,3,large,adult,mixed,3,large_working,1,0.04141680801384029
pekingese,13,27,Sable,Female,5,4,3,5,2,2,4,1,3,4,2,2,medium,senior,unique,1,independent_character,1,0.08882974922564046
siberian husky,2,9,Red,Female,2,1,1,5,5,5,3,3,2,5,5,5,small,puppy,unique,0,family_active,1,0.05060466007524855
irish setter,9,8,Blue,Female,1,3,2,5,5,5,4,2,4,4,5,5,small,senior,unique,0,family_active,1,0.13291247026930442
shiba inu,10,29,Black and Tan,Male,5,4,5,4,3,3,4,1,2,4,4,3,medium,senior,dark,1,independent_character,1,0.03866640228556284
akita,9,44,Red,Male,2,2,1,5,1,1,5,5,2,5,4,4,large,senior,unique,3,large_working,-1,-0.00886127305314277
chinese shar-pei,6,31,Blue,Male,4,2,4,2,2,1,5,2,3,5,2,3,large,adult,unique,1,independent_character,1,0.03603625785343145
havanese,9,14,Cream,Female,5,5,1,5,4,5,2,1,5,2,3,3,small,senior,light,2,small_companion,1,0.12281828254349136
bernese mountain dog,4,46,Bicolor,Male,1,2,1,5,5,3,5,4,4,4,4,3,large,adult,mixed,3,large_working,1,0.07387418429489756
irish setter,13,57,Brown,Female,1,3,2,5,5,5,4,2,4,4,5,5,large,senior,dark,0,family_active,1,0.13291247026930442
whippet,1,12,Merle,Male,5,3,2,5,5,4,2,1,4,1,5,5,small,puppy,unique,5,smart_active,1,0.10558414949628958
alaskan malamute,7,25,Spotted,Male,1,1,1,4,3,2,5,1,4,5,5,5,medium,adult,mixed,3,large_working,1,0.05178362947380133
papillon,4,16,Bicolor,Male,5,5,1,5,3,4,2,1,5,2,4,5,medium,adult,mixed,2,small_companion,1,0.08890602129631608
belgian malinois,2,11,Black,Female,1,3,3,5,4,2,2,1,5,2,5,5,small,puppy,dark,5,smart_active,1,0.056851380059695145
irish setter,12,33,White,Female,1,3,2,5,5,5,4,2,4,4,5,5,large,senior,light,0,family_active,1,0.13291247026930442
labrador retriever,8,50,Gray,Male,1,3,2,5,5,5,5,3,5,4,5,5,large,adult,light,0,family_active,1,0.11542894055049463
siberian husky,9,7,Tan,Male,2,1,1,5,5,5,3,3,2,5,5,5,small,senior,light,0,family_active,1,0.05060466007524855
boxer,4,44,Sable,Male,4,3,1,5,4,3,4,2,4,3,5,5,large,adult,unique,3,large_working,1,0.13011879791857717
miniature schnauzer,8,32,Tan,Male,4,3,5,5,3,3,2,1,5,3,5,5,large,adult,light,5,smart_active,1,0.049418521329423815
bulldog,12,36,Black and Tan,Female,5,4,3,5,4,2,3,5,3,4,2,3,large,senior,dark,1,independent_character,1,0.08167644158922482
rottweiler,7,40,Brindle,Male,2,1,1,5,4,2,4,4,4,4,4,4,large,adult,mixed,3,large_working,1,0.1270094429307097
french bulldog,8,17,Black and White,Male,5,5,1,5,4,4,3,1,4,3,3,2,medium,adult,mixed,2,small_companion,1,0.14241912525877787
lhasa apso,10,5,Black and White,Female,5,5,4,4,4,3,3,1,3,4,4,3,small,senior,mixed,1,independent_character,1,0.1145986381147937
siberian husky,7,28,Black,Male,2,1,1,5,5,5,3,3,2,5,5,5,medium,adult,dark,0,family_active,1,0.05060466007524855
vizsla,10,10,Black,Female,1,3,1,5,5,5,2,1,5,5,5,5,small,senior,dark,0,family_active,1,0.0988842615370068
papillon,14,5,Black and White,Male,5,5,1,5,3,4,2,1,5,2,4,5,small,senior,mixed,2,small_companion,1,0.08890602129631608
samoyed,7,40,Spotted,Male,2,2,2,5,5,5,5,2,3,3,5,5,large,adult,mixed,0,family_active,1,0.10307336763685271
lhasa apso,8,15,Black and Tan,Male,5,5,4,4,4,3,3,1,3,4,4,3,small,adult,dark,1,independent_character,1,0.1145986381147937
samoyed,9,34,Cream,Female,2,2,2,5,5,5,5,2,3,3,5,5,large,senior,light,0,family_active,1,0.10307336763685271
miniature schnauzer,14,22,Brown,Male,4,3,5,5,3,3,2,1,5,3,5,5,medium,senior,dark,5,smart_active,1,0.049418521329423815
chinese shar-pei,6,53,Tan,Female,4,2,4,2,2,1,5,2,3,5,2,3,large,adult,light,1,independent_character,1,0.03603625785343145
rottweiler,7,45,Bicolor,Female,2,1,1,5,4,2,4,4,4,4,4,4,large,adult,mixed,3,large_working,1,0.1270094429307097
rottweiler,4,23,Sable,Female,2,1,1,5,4,2,4,4,4,4,4,4,medium,adult,unique,3,large_working,1,0.1270094429307097
border collie,8,57,Cream,Female,2,2,1,5,4,3,3,1,5,2,5,5,large,adult,light,5,smart_active,1,0.12980876058686436
rottweiler,3,52,Merle,Male,2,1,1,5,4,2,4,4,4,4,4,4,large,puppy,unique,3,large_working,1,0.1270094429307097
irish setter,12,15,White,Female,1,3,2,5,5,5,4,2,4,4,5,5,small,senior,light,0,family_active,1,0.13291247026930442
pekingese,8,24,Black and White,Male,5,4,3,5,2,2,4,1,3,4,2,2,medium,adult,mixed,1,independent_character,1,0.08882974922564046
french bulldog,9,42,Tan,Male,5,5,1,5,4,4,3,1,4,3,3,2,large,senior,light,2,small_companion,1,0.14241912525877787
dachshund,3,18,Gray,Male,5,4,3,4,5,3,3,1,2,5,3,3,medium,puppy,light,1,independent_character,1,0.09346636634119565
boston terrier,14,8,Spotted,Male,5,4,3,4,5,5,2,1,4,3,4,4,small,senior,mixed,5,smart_active,1,0.1022841672540743
west highland white terrier,4,41,Sable,Male,4,4,2,5,4,5,4,1,4,4,4,4,large,adult,unique,2,small_companion,1,0.11785238860222136
german shepherd dog,2,8,Bicolor,Male,3,2,2,5,5,2,5,1,5,4,5,5,small,puppy,mixed,3,large_working,1,0.08877452506852401
boston terrier,9,40,Bicolor,Female,5,4,3,4,5,5,2,1,4,3,4,4,large,senior,mixed,5,smart_active,1,0.1022841672540743
pug,12,12,Black and White,Female,5,5,1,5,4,4,5,1,3,2,3,3,small,senior,mixed,2,small_companion,1,0.1093041223286344
west highland white terrier,2,59,Merle,Male,4,4,2,5,4,5,4,1,4,4,4,4,large,puppy,unique,2,small_companion,1,0.11785238860222136
whippet,1,15,Spotted,Female,5,3,2,5,5,4,2,1,4,1,5,5,small,puppy,mixed,5,smart_active,1,0.10558414949628958
great dane,11,25,Black and White,Female,1,1,1,5,5,5,5,4,5,4,5,5,medium,senior,mixed,0,family_active,1,0.07166068511527701
border collie,11,33,Gray,Male,2,2,1,5,4,3,3,1,5,2,5,5,large,senior,light,5,smart_active,1,0.12980876058686436
havanese,1,13,Sable,Female,5,5,1,5,4,5,2,1,5,2,3,3,small,puppy,unique,2,small_companion,1,0.12281828254349136
papillon,6,13,Brindle,Male,5,5,1,5,3,4,2,1,5,2,4,5,small,adult,mixed,2,small_companion,1,0.08890602129631608
lhasa apso,2,22,Brindle,Female,5,5,4,4,4,3,3,1,3,4,4,3,medium,puppy,mixed,1,independent_character,1,0.1145986381147937
golden retriever,11,22,Bicolor,Female,2,3,1,5,5,5,5,4,5,3,5,5,medium,senior,mixed,0,family_active,1,0.08528781558879694
bloodhound,6,10,Cream,Female,1,2,2,5,5,5,4,5,3,4,5,5,small,adult,light,0,family_active,1,0.08520155191862566
boxer,1,36,Red,Female,4,3,1,5,4,3,4,2,4,3,5,5,large,puppy,unique,3,large_working,1,0.13011879791857717
golden retriever,4,34,Tan,Male,2,3,1,5,5,5,5,4,5,3,5,5,large,adult,light,0,family_active,1,0.08528781558879694
papillon,9,21,Cream,Female,5,5,1,5,3,4,2,1,5,2,4,5,medium,senior,light,2,small_companion,1,0.08890602129631608
airedale terrier,1,57,Bicolor,Male,1,2,2,4,4,4,2,1,4,4,5,5,large,puppy,mixed,0,family_active,1,0.11990421320075151
belgian malinois,9,27,Merle,Female,1,3,3,5,4,2,2,1,5,2,5,5,medium,senior,unique,5,smart_active,1,0.056851380059695145
bernese mountain dog,10,40,Spotted,Male,1,2,1,5,5,3,5,4,4,4,4,3,large,senior,mixed,3,large_working,1,0.07387418429489756
dogo argentino,5,55,Gray,Male,1,1,2,4,2,2,1,3,2,2,4,4,large,adult,light,3,large_working,1,0.0
weimaraner,14,40,Cream,Male,1,2,1,5,4,3,4,4,4,2,5,5,large,senior,light,3,large_working,1,0.10893677592658224
border collie,7,21,Gray,Female,2,2,1,5,4,3,3,1,5,2,5,5,medium,adult,light,5,smart_active,1,0.12980876058686436
bulldog,12,58,Cream,Female,5,4,3,5,4,2,3,5,3,4,2,3,large,senior,light,1,independent_character,1,0.08167644158922482
belgian malinois,10,32,Black and White,Female,1,3,3,5,4,2,2,1,5,2,5,5,large,senior,mixed,5,smart_active,1,0.056851380059695145
dachshund,1,37,Merle,Male,5,4,3,4,5,3,3,1,2,5,3,3,large,puppy,unique,1,independent_character,1,0.09346636634119565
siberian husky,12,52,Gray,Female,2,1,1,5,5,5,3,3,2,5,5,5,large,senior,light,0,family_active,1,0.05060466007524855
basenji,2,7,Black,Male,5,4,4,5,5,4,1,5,1,1,5,5,small,puppy,dark,4,outlier_unique,-1,-0.015910031319223084
chesapeake bay retriever,8,16,Black,Male,1,1,2,5,3,1,5,3,3,3,5,5,medium,adult,dark,3,large_working,1,0.041604479924655324
vizsla,3,23,Sable,Male,1,3,1,5,5,5,2,1,5,5,5,5,medium,puppy,unique,0,family_active,1,0.0988842615370068
